"collection_name","article_id","title","doi","tags","thumbnail_file"
"Casualties and first aid","7286312","Children playing near a live wire","https://doi.org/10.17028/rd.lboro.7286312.v1","Line drawings","7286312_thumbnail.jpg"
"Casualties and first aid","7286291","Giving blood","https://doi.org/10.17028/rd.lboro.7286291.v1","Line drawings","7286291_thumbnail.jpg"
"Casualties and first aid","7286294","Unit of blood","https://doi.org/10.17028/rd.lboro.7286294.v1","Line drawings","7286294_thumbnail.jpg"
"Casualties and first aid","7286297","Carrying a casualty on a stretcher","https://doi.org/10.17028/rd.lboro.7286297.v1","Line drawings","7286297_thumbnail.jpg"
"Buckets","7844705","Handwashing facility showing insulated bucket basin soap dish and concrete slab","https://doi.org/10.17028/rd.lboro.7844705.v1","Technical illustration and graphics","7844705_thumbnail.jpg"
"Buckets","7869179","Temporary bucket latrine","https://doi.org/10.17028/rd.lboro.7869179.v1","Technical illustration and graphics","7869179_thumbnail.jpg"
"Buckets","7873973","Kibble bucket for lifting and lowering material into wells","https://doi.org/10.17028/rd.lboro.7873973.v1","Technical illustration and graphics","7873973_thumbnail.jpg"
"Buckets","7945898","Simple pit latrine with bucket","https://doi.org/10.17028/rd.lboro.7945898.v1","Technical illustration and graphics","7945898_thumbnail.jpg"
"Buckets","8069009","The Blair bucket pump","https://doi.org/10.17028/rd.lboro.8069009.v1","Technical illustration and graphics","8069009_thumbnail.jpg"
"Buckets","8069003","The Blair bucket and its valve","https://doi.org/10.17028/rd.lboro.8069003.v1","Technical illustration and graphics","8069003_thumbnail.jpg"
"Buckets","8068985","Protected well with a double bucket systems","https://doi.org/10.17028/rd.lboro.8068985.v1","Technical illustration and graphics","8068985_thumbnail.jpg"
"Buckets","7959320","The Blair bucket pump","https://doi.org/10.17028/rd.lboro.7959320.v1","Technical illustration and graphics","7959320_thumbnail.jpg"
"Buckets","7959323","The Blair bucket and valve","https://doi.org/10.17028/rd.lboro.7959323.v1","Technical illustration and graphics","7959323_thumbnail.jpg"
"Buckets","8059151","Protected well with double bucket system","https://doi.org/10.17028/rd.lboro.8059151.v1","Technical illustration and graphics","8059151_thumbnail.jpg"
"Buckets","8059139","Well with windlass and bucket and cover v1","https://doi.org/10.17028/rd.lboro.8059139.v1","Technical illustration and graphics","8059139_thumbnail.jpg"
"Buckets","8059142","Well with windlass and bucket and cover v2","https://doi.org/10.17028/rd.lboro.8059142.v1","Technical illustration and graphics","8059142_thumbnail.jpg"
"Buckets","8059145","Protected well with double bucket system - colour","https://doi.org/10.17028/rd.lboro.8059145.v1","Technical illustration and graphics","8059145_thumbnail.jpg"
"Buckets","7959188","The Blair bucket pump","https://doi.org/10.17028/rd.lboro.7959188.v1","Technical illustration and graphics","7959188_thumbnail.jpg"
"Buckets","7981961","The Blair bucket and windlass","https://doi.org/10.17028/rd.lboro.7981961.v1","Technical illustration and graphics","7981961_thumbnail.jpg"
"Buckets","7981958","The Blair bucket and its valve 2","https://doi.org/10.17028/rd.lboro.7981958.v1","Technical illustration and graphics","7981958_thumbnail.jpg"
